Player,Tm,Pos,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,PTS
Danielle Robinson,IND,G,24,24,24,27.5,3.7,8.8,0.417,0.2,1,0.2,3.5,7.8,0.446,2.3,2.6,0.889,0.3,3.5,3.7,1.6,0.1,1.8,2.1,9.9
Layshia Clarendon,TOT,G,22,22,20,24.7,4.2,8.1,0.517,0.2,0.6,0.357,4,7.5,0.53,1.3,1.7,0.784,0.5,3,5.4,0.6,0,3,2.7,9.9
Kia Nurse,PHO,G,32,32,32,26.1,3.1,8.5,0.359,1.8,5.2,0.353,1.2,3.3,0.368,1.5,1.9,0.79,0.4,3.5,1.8,0.5,0.1,1.5,2.3,9.5
Brittney Sykes,LAS,G,32,32,20,29.3,3.6,8.9,0.405,0.3,1.3,0.262,3.3,7.6,0.43,1.9,2.5,0.772,1.2,4.6,2.2,1.8,0.5,1.4,2.5,9.4
Kristi Toliver,LAS,G,19,19,19,27.6,3.5,8.5,0.414,1.5,4.4,0.337,2.1,4.2,0.494,0.8,1,0.842,0.5,1.5,2.8,0.7,0,1.7,1.9,9.4
Rebecca Allen,NYL,F,25,25,13,24.6,3,8.6,0.343,1.9,5,0.381,1,3.6,0.289,1.3,1.5,0.892,0.8,3.7,1.1,1.6,1.2,0.8,2.2,9.2
Amanda Zahui B.,LAS,C,30,30,27,23.8,3.5,8.2,0.429,1,3.6,0.28,2.5,4.7,0.543,1.1,1.4,0.767,0.8,5.1,1,0.6,1.2,1.8,3.3,9.2
Te'a Cooper,LAS,G,31,31,13,22,3.1,8.3,0.379,0.8,2.4,0.324,2.4,5.9,0.401,2,2.7,0.75,0.1,1.7,1.4,0.9,0.2,1.8,2.2,9.1
Crystal Bradford,ATL,G,24,24,9,18.3,3.4,8,0.429,1.2,3.4,0.358,2.2,4.6,0.482,0.8,1.6,0.462,1.3,3.8,1.5,1.2,0.4,1,2.3,8.8
Natasha Cloud,WAS,G,27,27,27,31.6,3,7.7,0.389,1,3.5,0.274,2,4.2,0.487,1.7,2,0.836,0.4,3.6,6.4,1.4,0.1,2.2,2.3,8.7
